url,title,excerpt
https://media.nesta.org.uk/documents/Collective_Intelligence_A_checklist_for_the_public_sector.pdf,Collective Intelligence: a checklist for the public sector,Comprehensive guide for public sector on collective intelligence project implementation.
https://directus.thegovlab.com/uploads/ci_cases/originals/b3b84db2-296c-435d-968a-8d066c6a7b87.pdf,Using Collective Intelligence to Solve Public Problems,Exploration of collective intelligence in public problem-solving
https://virtual-communities.thegovlab.org/files/DTR_report_en_EN.pdf,The Power of Virtual Communities,"In-depth exploration of virtual communities' impact, growth, and challenges"
https://content.thegovlab.com/assets/f7ad046e-fc89-42b8-b0ae-37c9cd5d8296,CrowdLaw for Congress Playbook,"Comprehensive guide on CrowdLaw, leveraging technology for public engagement in lawmaking"
https://abre.tumunicipio.org/,¿Te atreves a construir colaborativamente tu gobierno local?,Iniciativa que integra herramientas digitales y metodologías colaborativas para la participación ciudadana en la gestión municipal.
https://www.airlouisville.com/,"Improve Asthma, Together",AIR Louisville's initiative utilizing smart inhalers to manage and reduce asthma rates
https://www.innovation.sfgov.org/contact-us,MAYOR'S OFFICE OF INNOVATION,Comprehensive overview of San Francisco's Mayor's Office of Innovation
https://www.innovation.sfgov.org/civic-bridge,Civic Bridge,Partnership program for city project solutions
https://omastadi.hel.fi/pages/yhteystiedot?locale=en,Tietoa sivustolla käytetyistä evästeistä,"Evästeiden käyttö, luokittelu, käyttötarkoitus ja hallinta sivustolla."
https://omastadi.hel.fi/,Tietoa sivustolla käytetyistä evästeistä,"Evästeiden käyttö, hallinta ja OmaStadi-prosessin yksityiskohdat."
https://flintpropertyportal.com,,
http://www.ipaidabribe.com/,Corruption and Bribery in India: A Comprehensive Overview,"In-depth analysis of corruption and bribery in India, including over 198,025 reports and 30.01 billion INR involved, with insights from the 'I Paid A Bribe' platform and major investigations."
https://www.sustainableneighborhoodnetwork.org/sustainable-neighborhoods-lakewood,,
https://www.worldbank.org/en/programs/listening-to-africa,Working for a World Free of Poverty,Comprehensive welfare monitoring in Africa via mobile phone surveys.
https://www.bristolapproach.org/bristol-approach-projects/air-quality/,AIR QUALITY,Community-engaged air quality improvement project in East Bristol
https://www.jrf.org.uk/report/can-neighbourhood-approach-loneliness-contribute-peoples-well-being,Can a Neighbourhood Approach to Loneliness Contribute to People's Well-Being?,Comprehensive evaluation of a community-based programme to mitigate loneliness.
http://web.archive.org/web/20131129155101/http:/gabinetedigital.rs.gov.br/,Gabinete Digital: Um Canal de Participação e Diálogo,Iniciativa para democratização da gestão pública via participação cidadã.
https://zika.smartercrowdsourcing.org/en/,Smarter Crowdsourcing for Zika and Other Mosquito-Borne Diseases,Web-based conferences on innovative strategies against Zika and mosquito-borne diseases.
https://allofus.nih.gov/,The Future of Health Begins with You,Invitation to join a diverse health database initiative by the All of Us Research Program
https://ilmastovahti.hel.fi/,Helsingin ilmastoteot,Helsinki aims for carbon neutrality by 2030 and zero emissions by 2040
https://petabencana.id/,Persetujuan Pengguna dan Kebijakan Privasi PetaBencana.id,"Dokumen yang mengatur penggunaan, kontribusi, dan privasi pada PetaBencana.id."
https://cidadedemocratica.org.br/,Instituto Cidade Democrática,Organização que promove a participação pública em políticas através de ferramentas digitais
https://fas.org/congressional-science-policy-initiative/,Science Policy,Comprehensive overview of the Federation of American Scientists' Science Policy initiatives.
https://www.challenge.gov/,Federal Prize Competitions,Guide on participating in federal prize competitions for innovation.
https://www.kansalaisaloite.fi/fi,Tietoa kävijäseurannasta ja kansalaisaloitteesta,Opas kävijäseurannan estämiseen ja kansalaisaloitteiden tekemiseen.
https://www.pulsepoint.org/,PulsePoint: Empowering Communities and Saving Lives,"Comprehensive suite of apps for emergency response, AED management, and community safety."
https://safecast.org/,Safecast,A global volunteer-driven environmental data collection initiative with over 150 million readings
https://www.synathina.gr/en/,ACTIVITIES IN THE CITY,"Comprehensive overview of SynAthina-facilitated citizen group activities in the city, including events and a map of activities."
https://www.ushahidi.com/,Ushahidi: Empowering Communities through Citizen-Generated Data,"Ushahidi leverages technology for community empowerment, focusing on governance, humanitarian relief, human rights, and climate action."
https://vtaiwan.tw/,歷史案件,綜合討論文件，涉及個資保護、開放國會、AI與人權、非自願色情內容處罰、電動移動裝置安全等議題
https://www.injuv.gob.cl/creamos,PROGRAMA CREAMOS,"Apoyo a jóvenes en ideas innovadoras para problemáticas sociales con formación, financiamiento y acompañamiento."
https://www.decidim.barcelona/processes/forumjoveBCN,Informació sobre el Fòrum Jove BCN i les galetes de la pàgina web,Informació detallada sobre el Fòrum Jove BCN i l'ús de galetes a la seva pàgina web.
https://nuortenbudjetti.hel.fi/,Tietoa sivustolla käytetyistä evästeistä ja Nuorten Budjetti,Evästeiden käyttö ja Nuorten Budjetin prosessin vaiheet
https://election-subversion.smartercrowdsourcing.org,Advisory Sessions on Resilient Elections,Online sessions by The GovLab & Burnes Center to guide Democracy Fund Voice in election resilience grantmaking.
https://innovate-us.org/,Free Innovation and Problem-Solving Training for Public Servants,Comprehensive training on innovation and problem-solving for public servants at no cost.
https://cip.org/,Collective Intelligence for Collective Progress,Exploration of collective intelligence in governing transformative tech like AI.
https://www.itsourturn.org/thechallenge,The Challenge of Educational Inequity,"An in-depth look at educational inequity, its systemic causes, and the critical role of student voices in crafting solutions."
https://e4e.org/about-us,About Us - Educators for Excellence,"Comprehensive overview of Educators for Excellence's mission, origins, and team."
http://unlockingliteracy.ai,UNLOCKING LITERACY,Improving Literacy and Equity Through Community Engagement
https://tntp.org/about-tntp,"MAKING ACADEMIC, ECONOMIC, AND SOCIAL MOBILITY A REALITY",Redesigning America's public education for future expectations.
https://innovateschools.org/about-us/,About Innovate Public Schools,"Nonprofit focusing on high-quality education for underserved communities, emphasizing Black and Brown students."
https://www.govinfo.gov/committee/house-modernization?path=/browsecommittee/chamber/house/committee/modernization/collection/CRPT,House Select Committee on the Modernization of Congress,"Details and publications of the House Select Committee on Modernization of Congress, including search functionality and publication history."
https://youreducationyourvoice.org/,"Engaging diverse students, families and educators in effective education policymaking",Project to involve diverse communities in education policymaking
https://experiential-learning.smartercrowdsourcing.org/,SMARTER CROWDSOURCING: INNOVATIONS IN EXPERIENTIAL LEARNING IN HIGHER EDUCATION AND BEYOND,Innovations in experiential learning discussed by experts in a gathering organized by The GovLab and Northeastern University.
https://civilservice.blog.gov.uk/2014/10/31/the-red-tape-challenge/,THE RED TAPE CHALLENGE,"Detailed overview of the Red Tape Challenge's objectives, achievements, and DEFRA's contributions to regulatory reforms."
http://self.covid19.nj.gov,Official Site of the State Of New Jersey - COVID-19 Information,"Comprehensive COVID-19 resources for New Jersey residents, including vaccination, testing, and 24/7 medical advice."
http://africa.multicitychallenge.org,Multi City Challenge,Urban innovation initiative for African cities
https://mexico.multicitychallenge.org/,Multi-City Challenge 2020,Iniciativa del Multi-City Challenge 2020 para solucionar problemas urbanos con colaboración ciudadana.
https://enjine.smarter.nj.gov/group/6,Javascript Requirement Notice,Javascript enablement requirement notice for website functionality
https://smarter.nj.gov,"GOVERNMENT OF THE PEOPLE, FOR THE PEOPLE, WITH THE PEOPLE.",Public engagement initiative by New Jersey for improving government operations.
https://anticorruption.smartercrowdsourcing.org,Smarter Crowdsourcing | Anticorrupción,Serie de conferencias en línea para discutir soluciones contra la corrupción en México.
http://www.unchat.com,UNCHAT.COM,Copyright notice for UNCHAT.COM for the year 2024.
https://fannincountyleader.info/texas-red-tape-challenge-p784-1.htm,Texas Red Tape Challenge,Public platform for feedback on Texas laws and regulations.
https://collective-intelligence.thegovlab.org/case/belgian-sortition-models,Belgian Sortition Models,In-depth exploration of Belgium's sortition-based citizens' assemblies in Ostbelgien and Brussels-Capital regions.
https://collective-intelligence.thegovlab.org/case/vtaiwan,vTaiwan: Reaching Consensus Using Collective Intelligence,An in-depth exploration of vTaiwan's innovative approach to legislating the digital economy through public-government collaboration.
https://collective-intelligence.thegovlab.org/case/synathina,SYNATHINA: Athens’ Collective Intelligence Ecosystem,"An in-depth case study on synAthina, a collaborative platform between citizens and the Athens government for city improvement."
https://collective-intelligence.thegovlab.org/case/safecast,Safecast: Using Citizen Science to Map Radiation and Air Quality at a Global Scale,Global environmental monitoring initiative by Safecast through citizen science.
"https://en.wikipedia.org/wiki/Citizen%27s_Briefing_Book#:~:text=Citizen's%20Briefing%20Book%20is%20a,his%20January%2020%2C%202009%20inauguration.",Citizen's Briefing Book,"A detailed compilation of public suggestions for President Obama, emphasizing healthcare and marijuana legalization."
https://collective-intelligence.thegovlab.org/case/pulsepoint-and-goodsam,PulsePoint and GoodSAM: Crowdsourcing First Responders through Smartphone Apps,Exploration of PulsePoint and GoodSAM apps in mobilizing community CPR responders.
https://collective-intelligence.thegovlab.org/case/congressional-science-policy-initiative,Congressional Science Policy Initiative,A program connecting scientists with Congress for informed legislative decisions on science and technology.
https://collective-intelligence.thegovlab.org/case/syria-tracker,Syria Tracker,Online platform for documenting human rights abuses in Syria
https://collective-intelligence.thegovlab.org/case/cidade-democratica,Cidade Democrática Develops a Tool to Crowdsource Solutions to Corruption in Brazil,EJ platform by Cidade Democrática for crowdsourcing anti-corruption solutions in Brazil.
